user_pseudo_id,total_events,page_views,scrolls,engagements,sessions,device,country,active_days,engagement_rate,scroll_rate,session_rate
44126949.64,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
44166022.3,1,0,0,0,0,mobile,Portugal,1,0.0,,0.0
44344013.5,1,0,0,0,0,mobile,United States,1,0.0,,0.0
44466932.97,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
44519434.27,1,0,0,1,0,desktop,Singapore,1,1.0,,0.0
44539336.39,1,0,0,0,0,desktop,United Kingdom,1,0.0,,0.0
44611169.14,1,0,0,1,0,mobile,United States,1,1.0,,0.0
44686312.13,1,1,0,0,0,desktop,Canada,1,0.0,0.0,0.0
44892384.05,1,0,0,0,1,mobile,China,1,0.0,,1.0
44950551.14,1,1,0,0,0,desktop,Italy,1,0.0,0.0,0.0
44950827.31,1,0,0,0,0,mobile,United States,1,0.0,,0.0
44956096.8,1,1,0,0,0,desktop,Canada,1,0.0,0.0,0.0
44957561.84,1,0,0,1,0,desktop,United Arab Emirates,1,1.0,,0.0
44997113.86,1,0,0,0,0,desktop,United Kingdom,1,0.0,,0.0
45089394.79,1,0,0,0,0,mobile,United States,1,0.0,,0.0
45122557.73,1,0,0,1,0,mobile,China,1,1.0,,0.0
45167104.04,1,0,0,1,0,desktop,United States,1,1.0,,0.0
45175592.03,1,0,0,0,1,desktop,India,1,0.0,,1.0
45267518.34,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
45272233.96,1,1,0,0,0,desktop,United Kingdom,1,0.0,0.0,0.0
45327079.23,2,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
45410375.13,1,0,0,1,0,mobile,Kenya,1,1.0,,0.0
45416801.03,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
45502892.67,1,1,0,0,0,mobile,Sweden,1,0.0,0.0,0.0
45506747.06,1,0,0,0,0,desktop,Indonesia,1,0.0,,0.0
45565536.17,1,1,0,0,0,desktop,Thailand,1,0.0,0.0,0.0
45657062.73,1,1,0,0,0,mobile,Croatia,1,0.0,0.0,0.0
45688578.42,1,0,0,1,0,desktop,Slovakia,1,1.0,,0.0
45736905.51,1,0,0,1,0,desktop,United States,1,1.0,,0.0
45773110.51,1,1,0,0,0,mobile,Netherlands,1,0.0,0.0,0.0
45942478.66,1,0,0,0,0,mobile,Austria,1,0.0,,0.0
46020141.45,1,0,0,1,0,mobile,United States,1,1.0,,0.0
46108089.58,1,0,0,0,1,desktop,United States,1,0.0,,1.0
46156079.48,1,0,0,0,1,mobile,United States,1,0.0,,1.0
46162804.25,1,0,0,1,0,desktop,United States,1,1.0,,0.0
46221457.98,2,1,0,1,0,desktop,United States,1,0.5,0.0,0.0
46266860.13,1,0,0,0,1,mobile,United States,1,0.0,,1.0
46309894.85,1,0,0,1,0,desktop,United States,1,1.0,,0.0
46330061.51,1,0,1,0,0,desktop,United States,1,0.0,,0.0
46338343.13,1,0,1,0,0,tablet,United States,1,0.0,,0.0
46378705.18,1,1,0,0,0,desktop,Canada,1,0.0,0.0,0.0
46532505.93,1,1,0,0,0,mobile,Turkey,1,0.0,0.0,0.0
46546190.23,1,1,0,0,0,mobile,India,1,0.0,0.0,0.0
46562097.5,2,1,0,1,0,desktop,United States,1,0.5,0.0,0.0
46589473.99,1,0,0,1,0,desktop,United Kingdom,1,1.0,,0.0
46620079.79,1,1,0,0,0,desktop,Canada,1,0.0,0.0,0.0
46685291.88,1,0,0,1,0,mobile,France,1,1.0,,0.0
46705760.94,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
46713699.81,1,0,0,0,0,desktop,United States,1,0.0,,0.0
46787538.37,1,1,0,0,0,desktop,Colombia,1,0.0,0.0,0.0
46927989.52,1,0,0,1,0,desktop,Thailand,1,1.0,,0.0
46971435.74,1,0,0,1,0,desktop,Czechia,1,1.0,,0.0
46994588.27,2,1,0,1,0,mobile,Kenya,1,0.5,0.0,0.0
47057469.87,1,0,1,0,0,mobile,United Kingdom,1,0.0,,0.0
47060586.5,1,0,0,0,1,mobile,Canada,1,0.0,,1.0
47072056.07,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
47137195.92,1,0,0,1,0,desktop,Canada,1,1.0,,0.0
47261148.24,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
47350731.25,1,0,1,0,0,desktop,China,1,0.0,,0.0
47364188.04,1,1,0,0,0,desktop,Israel,1,0.0,0.0,0.0
47829391.38,1,1,0,0,0,mobile,United Kingdom,1,0.0,0.0,0.0
47862460.51,1,0,0,1,0,desktop,United States,1,1.0,,0.0
47888919.79,1,0,0,1,0,desktop,United States,1,1.0,,0.0
47889826.11,1,0,0,0,0,mobile,United States,1,0.0,,0.0
47936789.5,1,0,0,0,0,mobile,United States,1,0.0,,0.0
48118063.82,1,0,0,0,0,desktop,India,1,0.0,,0.0
48120779.29,1,0,0,1,0,desktop,Netherlands,1,1.0,,0.0
48212670.86,1,0,1,0,0,desktop,United States,1,0.0,,0.0
48315855.91,1,0,0,0,1,tablet,Canada,1,0.0,,1.0
48516136.77,1,1,0,0,0,tablet,United States,1,0.0,0.0,0.0
48540947.99,1,0,0,0,0,desktop,Chile,1,0.0,,0.0
48627610.45,1,0,0,1,0,desktop,United States,1,1.0,,0.0
48856615.53,1,1,0,0,0,desktop,Hong Kong,1,0.0,0.0,0.0
49062284.75,1,0,0,0,1,desktop,United States,1,0.0,,1.0
49155910.12,1,1,0,0,0,desktop,Canada,1,0.0,0.0,0.0
49174192.87,1,0,0,1,0,desktop,United Kingdom,1,1.0,,0.0
49192152.36,1,0,0,1,0,desktop,United States,1,1.0,,0.0
49211429.12,1,1,0,0,0,mobile,United States,1,0.0,0.0,0.0
49260405.16,1,0,0,1,0,mobile,Puerto Rico,1,1.0,,0.0
49396998.91,1,0,0,0,0,mobile,Norway,1,0.0,,0.0
49457850.11,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
49461353.84,2,1,0,1,0,mobile,Malaysia,1,0.5,0.0,0.0
49504567.45,1,0,0,0,0,desktop,Indonesia,1,0.0,,0.0
49609601.36,1,1,0,0,0,mobile,Singapore,1,0.0,0.0,0.0
49612414.25,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
49658209.02,1,0,0,0,1,mobile,Albania,1,0.0,,1.0
49744288.77,1,1,0,0,0,mobile,Belgium,1,0.0,0.0,0.0
49795492.98,1,1,0,0,0,desktop,Denmark,1,0.0,0.0,0.0
49853818.06,2,0,0,2,0,desktop,United States,1,1.0,,0.0
49959619.96,1,1,0,0,0,mobile,Japan,1,0.0,0.0,0.0
49979752.64,1,0,1,0,0,mobile,India,1,0.0,,0.0
50182289.28,2,1,0,1,0,desktop,South Korea,1,0.5,0.0,0.0
50219096.45,1,0,1,0,0,desktop,United States,1,0.0,,0.0
50275664.23,1,0,0,0,1,desktop,Spain,1,0.0,,1.0
50361845.18,1,0,0,0,0,mobile,Indonesia,1,0.0,,0.0
50844046.96,2,0,0,0,0,mobile,United States,1,0.0,,0.0
50903309.84,1,0,1,0,0,desktop,United States,1,0.0,,0.0
50998893.01,2,1,0,1,0,desktop,France,1,0.5,0.0,0.0
51034463.54,2,0,0,0,0,mobile,United States,1,0.0,,0.0
51043572.41,1,0,0,1,0,desktop,United States,1,1.0,,0.0
51046120.46,1,1,0,0,0,desktop,United States,1,0.0,0.0,0.0
