user_pseudo_id,item_id,interaction,event_timestamp
56513851.43256689,9195712,4,2021-01-31 02:14:23.038371
40059472.62314504,9184829,4,2020-12-25 14:07:35.742105
40059472.62314504,9195842,4,2020-12-25 14:07:35.742105
40059472.62314504,9195843,4,2020-12-25 14:07:35.742105
40059472.62314504,9196652,4,2020-12-25 14:07:35.742105
40059472.62314504,9188201,4,2020-12-25 14:07:35.742105
28021217.133132067,GGOEGXXX1335,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGCKB140599,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGDWR133399,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGCBR133299,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGDWB140099,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGDHJ133499,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGDHJ140199,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGXXX1336,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGCBB139999,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGXXX1337,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGCKR133899,1,2020-12-25 05:44:47.996776
28021217.133132067,GGOEGBJD133999,1,2020-12-25 05:44:47.996776
63530640.366661295,GGOEYHPB121110,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYDHB098499,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYXXX1207,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYFKQ105899,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYOCR125599,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYCBR138999,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYXXX1202,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYXXX1203,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYAEA105610,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYHBB102199,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYDWB123299,1,2020-12-25 05:44:36.666485
63530640.366661295,GGOEYXXX1207,1,2020-12-25 05:44:36.666485
8916998.691081202,GGOEGXXX1613,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGXXX1342,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGAEB105210,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGHBJ101899,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGXXX1190,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGXXX1189,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEAXXX1308,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGXXX1613,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOECXXX1630,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGXXX1352,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGXXX1369,1,2021-01-31 01:51:39.543337
8916998.691081202,GGOEGXXX1109,1,2021-01-31 01:51:39.543337
18260385.739893973,GGOEGABJ099599,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJC100199,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBBC122499,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBBD122099,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJJ099699,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJQ125099,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJJ099699,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJR100099,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJC122399,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJJ103799,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBJJ099499,1,2021-01-31 04:15:59.302574
18260385.739893973,GGOEGBRJ114199,1,2021-01-31 04:15:59.302574
51154172.932788275,GGOEGXXX1613,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOECDHQ163999,3,2021-01-31 06:27:46.418592
51154172.932788275,GGCOGCBA161199,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOECOAQ163799,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOEGDHR162799,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOEGDHB163199,3,2021-01-31 06:27:46.418592
51154172.932788275,GGCOGCBD162999,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOEGCKH148999,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOEGDWJ141799,3,2021-01-31 06:27:46.418592
51154172.932788275,GGCOGDHC161299,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOECXXX1630,3,2021-01-31 06:27:46.418592
51154172.932788275,GGOEGDWH162399,3,2021-01-31 06:27:46.418592
83470863.47612995,9196875,4,2021-01-09 17:28:10.919102
7861304.189605472,GGOEGXXX1371,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEGXXX0913,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEGXXX1109,1,2021-01-09 11:38:41.178426
7861304.189605472,GGCOGXXX1008,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEGXXX1345,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEGXXX1383,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEYXXX1202,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEGXXX1385,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEGXXX1040,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEYXXX1203,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEGXXX1340,1,2021-01-09 11:38:41.178426
7861304.189605472,GGOEAXXX1308,1,2021-01-09 11:38:41.178426
3660202690.0921326,GGOEGXXX0906,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEGDWM145899,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEGXXX0919,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEGXXX0905,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEAOCB092799,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEACBA104599,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEAFBA115499,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEGOCL092999,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEAOCB092899,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEAFBA115599,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEGXXX1181,3,2021-01-10 06:03:07.444156
3660202690.0921326,GGOEAFKA087599,3,2021-01-10 06:03:07.444156
3665559.3046155274,GGOEGBJC122399,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEADHH117199,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGPJC019099,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGDWQ123399,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEAFBA115599,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGFKA022299,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEACBA116699,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGDHL116999,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGHGT124799,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGAAX0037,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGDNL108699,1,2020-11-14 17:06:50.610620
3665559.3046155274,GGOEGCBT136699,1,2020-11-14 17:06:50.610620
34526906.59508774,GGOEAXXX1299,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1358,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1445,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1130,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1360,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEAXXX1301,3,2021-01-02 18:42:36.903896
34526906.59508774,9197038,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1131,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1359,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1133,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1356,3,2021-01-02 18:42:36.903896
34526906.59508774,GGOEGXXX1346,3,2021-01-02 18:42:36.903896
76784344.91120692,GGOEGABJ099599,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGABL100799,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGEGC099099,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEACBA129599,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGEBA101699,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGABB100999,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGABB137799,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGEBA164399,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGBJJ099499,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEACBA116699,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGBGJ132699,1,2021-01-02 22:22:29.356456
76784344.91120692,GGOEGABK101099,1,2021-01-02 22:22:29.356456
2854265.8539857278,GGOEGDHG162299,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGOEGAPH161899,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGCOGCBA161199,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGOEGDWJ141799,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGCOGXXX1609,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGCOGCBD162999,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGCOGDWH161099,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGCOGDHC161299,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGOEGXXX1613,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGOEGDHR162799,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGOECDHQ163999,1,2020-12-25 05:42:04.227874
2854265.8539857278,GGOECOAQ163799,1,2020-12-25 05:42:04.227874
8992749.586798701,GGOEGDHL116999,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEGDNQ138099,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEGDBD132099,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEGDHJ136799,1,2020-12-25 21:56:14.058202
8992749.586798701,GGCOGDHC101099,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEGDHQ127799,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEGDHB137399,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEADHH129499,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEGDHJ116899,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOECDHQ163999,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEGDBJ132299,1,2020-12-25 21:56:14.058202
8992749.586798701,GGOEADWJ129399,1,2020-12-25 21:56:14.058202
36193525.5209796,GGCOGCBD162999,3,2020-12-25 00:49:04.811785
36193525.5209796,GGCOGXXX1609,3,2020-12-25 00:49:04.811785
36193525.5209796,GGOEGBRC128199,3,2020-12-25 00:49:04.811785
36193525.5209796,GGOEGXXX1613,3,2020-12-25 00:49:04.811785
36193525.5209796,GGOEGDWJ141799,3,2020-12-25 00:49:04.811785
36193525.5209796,GGOECOAQ163799,3,2020-12-25 00:49:04.811785
36193525.5209796,GGCOGDWH161099,3,2020-12-25 00:49:04.811785
36193525.5209796,GGOEGDHR162799,3,2020-12-25 00:49:04.811785
36193525.5209796,GGOECDHQ163999,3,2020-12-25 00:49:04.811785
36193525.5209796,GGCOGCBA161199,3,2020-12-25 00:49:04.811785
36193525.5209796,GGCOGDHC161299,3,2020-12-25 00:49:04.811785
36193525.5209796,GGOEGAPH161899,3,2020-12-25 00:49:04.811785
56420768.60369473,9199131,4,2021-01-10 08:03:40.144346
84278607.37919953,GGOEGCBB139999,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGXXX1337,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGXXX1403,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGDHJ133499,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGCKR133899,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGXXX1336,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGDWR133399,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGXXX1402,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGBJD133999,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGXXX1335,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGDHJ140199,3,2021-01-31 09:57:56.754263
84278607.37919953,GGOEGXXX1481,3,2021-01-31 09:57:56.754263
45942478.66253848,9196783,4,2021-01-01 09:23:45.841818
2885429.0157235567,GGOEAFKA087599,1,2021-01-01 09:33:16.851107
